trade_date,rule_id,level,field,count
1991-02-22,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-02-23,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-02-25,MISSING_VALUE,WARN,amount,3
1991-02-25,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-02-26,MISSING_VALUE,WARN,amount,3
1991-02-26,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-02-27,MISSING_VALUE,WARN,amount,3
1991-02-27,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-02-28,MISSING_VALUE,WARN,amount,3
1991-02-28,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-01,MISSING_VALUE,WARN,amount,3
1991-03-01,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-02,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-03-04,MISSING_VALUE,WARN,amount,4
1991-03-04,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-05,MISSING_VALUE,WARN,amount,3
1991-03-05,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-06,MISSING_VALUE,WARN,amount,3
1991-03-06,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-07,MISSING_VALUE,WARN,amount,4
1991-03-07,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-03-08,MISSING_VALUE,WARN,amount,4
1991-03-08,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-03-09,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-03-11,MISSING_VALUE,WARN,amount,4
1991-03-11,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-12,MISSING_VALUE,WARN,amount,4
1991-03-12,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-13,MISSING_VALUE,WARN,amount,3
1991-03-13,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-03-14,MISSING_VALUE,WARN,amount,3
1991-03-14,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-15,MISSING_VALUE,WARN,amount,3
1991-03-15,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-16,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-03-18,MISSING_VALUE,WARN,amount,3
1991-03-18,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-19,MISSING_VALUE,WARN,amount,3
1991-03-19,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-20,MISSING_VALUE,WARN,amount,3
1991-03-20,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-21,MISSING_VALUE,WARN,amount,3
1991-03-21,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-22,MISSING_VALUE,WARN,amount,3
1991-03-22,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-23,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-03-25,MISSING_VALUE,WARN,amount,3
1991-03-25,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-26,MISSING_VALUE,WARN,amount,3
1991-03-26,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-27,MISSING_VALUE,WARN,amount,3
1991-03-27,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-03-28,MISSING_VALUE,WARN,amount,3
1991-03-28,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-29,MISSING_VALUE,WARN,amount,3
1991-03-29,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-03-30,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-04-01,MISSING_VALUE,WARN,amount,4
1991-04-01,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-02,MISSING_VALUE,WARN,amount,3
1991-04-02,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-04-03,MISSING_VALUE,WARN,amount,3
1991-04-03,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-04-04,MISSING_VALUE,WARN,amount,3
1991-04-04,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-04-05,MISSING_VALUE,WARN,amount,4
1991-04-05,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-06,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-04-08,MISSING_VALUE,WARN,amount,3
1991-04-08,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-09,MISSING_VALUE,WARN,amount,4
1991-04-09,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-04-10,MISSING_VALUE,WARN,amount,3
1991-04-10,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-11,MISSING_VALUE,WARN,amount,4
1991-04-11,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-12,MISSING_VALUE,WARN,amount,3
1991-04-12,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-13,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-04-15,MISSING_VALUE,WARN,amount,4
1991-04-15,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-04-16,MISSING_VALUE,WARN,amount,3
1991-04-16,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-17,MISSING_VALUE,WARN,amount,4
1991-04-17,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-18,MISSING_VALUE,WARN,amount,4
1991-04-18,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-19,MISSING_VALUE,WARN,amount,4
1991-04-19,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-20,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-04-22,MISSING_VALUE,WARN,amount,4
1991-04-22,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-04-23,MISSING_VALUE,WARN,amount,3
1991-04-23,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-24,MISSING_VALUE,WARN,amount,3
1991-04-24,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-04-25,MISSING_VALUE,WARN,amount,4
1991-04-25,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-04-26,MISSING_VALUE,WARN,amount,4
1991-04-26,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-04-29,MISSING_VALUE,WARN,amount,4
1991-04-29,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-04-30,MISSING_VALUE,WARN,amount,4
1991-04-30,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-02,MISSING_VALUE,WARN,amount,4
1991-05-02,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-03,MISSING_VALUE,WARN,amount,4
1991-05-03,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-05-04,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-05-06,MISSING_VALUE,WARN,amount,4
1991-05-06,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-05-07,MISSING_VALUE,WARN,amount,4
1991-05-07,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-08,MISSING_VALUE,WARN,amount,4
1991-05-08,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-05-09,MISSING_VALUE,WARN,amount,3
1991-05-09,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-10,MISSING_VALUE,WARN,amount,3
1991-05-10,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-11,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-05-13,MISSING_VALUE,WARN,amount,3
1991-05-13,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-14,MISSING_VALUE,WARN,amount,3
1991-05-14,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-15,MISSING_VALUE,WARN,amount,3
1991-05-15,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-05-16,MISSING_VALUE,WARN,amount,3
1991-05-16,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-17,MISSING_VALUE,WARN,amount,3
1991-05-17,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-18,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-05-20,MISSING_VALUE,WARN,amount,3
1991-05-20,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-05-21,MISSING_VALUE,WARN,amount,3
1991-05-21,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-05-22,MISSING_VALUE,WARN,amount,3
1991-05-22,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-05-23,MISSING_VALUE,WARN,amount,3
1991-05-23,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-05-24,MISSING_VALUE,WARN,amount,3
1991-05-24,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-05-25,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-05-27,MISSING_VALUE,WARN,amount,4
1991-05-27,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-05-28,MISSING_VALUE,WARN,amount,3
1991-05-28,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-05-29,MISSING_VALUE,WARN,amount,4
1991-05-29,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-05-30,MISSING_VALUE,WARN,amount,3
1991-05-30,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-05-31,MISSING_VALUE,WARN,amount,3
1991-05-31,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-06-01,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-06-03,MISSING_VALUE,WARN,amount,3
1991-06-03,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-04,MISSING_VALUE,WARN,amount,3
1991-06-04,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-06-05,MISSING_VALUE,WARN,amount,3
1991-06-05,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-06-06,MISSING_VALUE,WARN,amount,4
1991-06-06,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-06-07,MISSING_VALUE,WARN,amount,3
1991-06-07,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-06-08,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-06-10,MISSING_VALUE,WARN,amount,3
1991-06-10,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-11,MISSING_VALUE,WARN,amount,3
1991-06-11,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-06-12,MISSING_VALUE,WARN,amount,3
1991-06-12,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-06-13,MISSING_VALUE,WARN,amount,3
1991-06-13,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-14,MISSING_VALUE,WARN,amount,3
1991-06-14,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-06-15,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-06-17,MISSING_VALUE,WARN,amount,3
1991-06-17,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-18,MISSING_VALUE,WARN,amount,4
1991-06-18,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-06-19,MISSING_VALUE,WARN,amount,4
1991-06-19,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-06-20,MISSING_VALUE,WARN,amount,4
1991-06-20,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-21,MISSING_VALUE,WARN,amount,4
1991-06-21,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-22,VWAP_OUT_OF_RANGE,ERROR,amount,1
1991-06-24,MISSING_VALUE,WARN,amount,4
1991-06-24,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-06-25,MISSING_VALUE,WARN,amount,4
1991-06-25,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-26,MISSING_VALUE,WARN,amount,4
1991-06-26,VWAP_OUT_OF_RANGE,ERROR,amount,5
1991-06-27,MISSING_VALUE,WARN,amount,4
1991-06-27,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-06-28,MISSING_VALUE,WARN,amount,3
1991-06-28,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-06-29,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-07-01,MISSING_VALUE,WARN,amount,3
1991-07-01,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-07-02,MISSING_VALUE,WARN,amount,3
1991-07-02,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-07-03,MISSING_VALUE,WARN,amount,4
1991-07-03,VWAP_OUT_OF_RANGE,ERROR,amount,4
1991-07-04,MISSING_VALUE,WARN,amount,4
1991-07-04,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-05,MISSING_VALUE,WARN,amount,4
1991-07-05,VWAP_OUT_OF_RANGE,ERROR,amount,6
1991-07-06,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-07-08,MISSING_VALUE,WARN,amount,4
1991-07-08,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-09,MISSING_VALUE,WARN,amount,4
1991-07-09,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-10,MISSING_VALUE,WARN,amount,4
1991-07-10,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-11,MISSING_VALUE,WARN,amount,4
1991-07-11,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-12,MISSING_VALUE,WARN,amount,4
1991-07-12,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-13,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-07-15,MISSING_VALUE,WARN,amount,4
1991-07-15,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-16,MISSING_VALUE,WARN,amount,4
1991-07-16,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-17,MISSING_VALUE,WARN,amount,4
1991-07-17,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-18,MISSING_VALUE,WARN,amount,4
1991-07-18,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-19,MISSING_VALUE,WARN,amount,4
1991-07-19,VWAP_OUT_OF_RANGE,ERROR,amount,9
1991-07-20,VWAP_OUT_OF_RANGE,ERROR,amount,3
1991-07-22,MISSING_VALUE,WARN,amount,4
1991-07-22,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-23,MISSING_VALUE,WARN,amount,4
1991-07-23,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-24,MISSING_VALUE,WARN,amount,4
1991-07-24,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-25,MISSING_VALUE,WARN,amount,4
1991-07-25,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-26,MISSING_VALUE,WARN,amount,4
1991-07-26,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-27,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-07-29,MISSING_VALUE,WARN,amount,4
1991-07-29,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-07-30,MISSING_VALUE,WARN,amount,4
1991-07-30,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-07-31,MISSING_VALUE,WARN,amount,4
1991-07-31,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-08-01,MISSING_VALUE,WARN,amount,4
1991-08-01,VWAP_OUT_OF_RANGE,ERROR,amount,8
1991-08-02,MISSING_VALUE,WARN,amount,4
1991-08-02,VWAP_OUT_OF_RANGE,ERROR,amount,9
1991-08-03,VWAP_OUT_OF_RANGE,ERROR,amount,2
1991-08-05,MISSING_VALUE,WARN,amount,4
1991-08-05,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-06,MISSING_VALUE,WARN,amount,4
1991-08-06,VWAP_OUT_OF_RANGE,ERROR,amount,7
1991-08-07,MISSING_VALUE,WARN,amount,4
