date,code,signal,forward_return_5d,forward_return_20d,mine5_32,mine20_32,mine5_64,mine20_64
2025-03-03,000890.SZ,-1.0410361671690624,0.016949177,-0.12667263,0.016949177,-0.12667263,0.016949152542372836,-0.1266726137377343
2025-03-03,002540.SZ,1.0864295809764775,0.031995416,0.036917806,0.031995416,0.036917806,0.031995456266565414,0.036917834153729734
2025-03-03,603993.SH,0.8665072862253175,0.14172184,0.11390734,0.14172184,0.11390734,0.1417218543046359,0.1139072847682121
2025-03-04,000001.SZ,1.3752673073540647,0.0071321726,-0.017117798,0.0071321726,-0.017117798,0.007132198385828792,-0.01711781097401177
2025-03-04,000890.SZ,-1.060278017119561,0.0035210848,-0.12500006,0.0035210848,-0.12500006,0.0035211267605634866,-0.125
2025-03-04,600276.SH,0.5274376807841334,-0.011033654,0.12606633,-0.011033654,0.12606633,-0.011033641967515773,0.12606630284623965
2025-03-04,600939.SH,0.6998019388844052,-0.012658238,-0.056961954,-0.012658238,-0.056961954,-0.012658227848101,-0.05696202531645567
2025-03-04,603088.SH,0.18270627980620455,0.141384,0.20492351,0.141384,0.20492351,0.14138389886892888,0.2049234863606122
2025-03-05,002175.SZ,-1.552941890947049,0.07745671,-0.10462421,0.07745671,-0.10462421,0.07745664739884384,-0.10462427745664737
2025-03-05,600053.SH,0.48293663807644743,-0.01693964,-0.036420107,-0.01693964,-0.036420107,-0.016939582156973554,-0.036420101637492874
2025-03-05,603088.SH,0.14830911731523702,0.12303913,0.2075162,0.12303913,0.2075162,0.12303921568627452,0.20751633986928097
2025-03-05,603993.SH,0.8299283940048009,0.12549019,0.09019601,0.12549019,0.09019601,0.12549019607843137,0.09019607843137267
2025-03-05,688255.SH,-2.9629578673141346,0.07845771,-0.12472749,0.07845771,-0.12472749,0.07845766974015089,-0.12472757753562447
2025-03-06,002910.SZ,-2.7197734622522205,-0.036998868,-0.07297009,-0.036998868,-0.07297009,-0.03699897225077109,-0.0729701952723536
2025-03-06,600720.SH,1.1332760137612412,-0.020969868,-0.027629554,-0.020969868,-0.027629554,-0.020969783697506794,-0.02762947878254174
2025-03-06,600939.SH,0.6291464671758823,-0.009554148,-0.050955355,-0.009554148,-0.050955355,-0.009554140127388755,-0.05095541401273884
