date,code,signal,forward_return_5d,forward_return_20d,fwd5_32,fwd20_32,missing,fwd5_32_tr,fwd20_32_tr,fwd5_64,fwd20_64,fwd5_64_t64,fwd20_64_t64
2024-09-27,000525.SZ,-0.3967858902075204,0.08533847,0.14143813,0.08533847,0.14143813,false,0.08533847,0.14143813,0.08533855623950748,0.14143816452154456,0.08533855623950748,0.14143816452154456
2024-09-30,000525.SZ,0.3735137758490098,0.104157686,0.15516496,0.104157686,0.15516496,false,0.104157686,0.15516496,0.10415773681954565,0.15516502357479633,0.10415773681954565,0.15516502357479633
2024-10-08,000525.SZ,0.5651685994813829,0.076396585,0.15580499,0.076396585,0.15580499,false,0.076396585,0.15580499,0.07639649507119373,0.15580503833515857,0.07639649507119373,0.15580503833515857
2024-10-09,000525.SZ,0.863997931277736,0.026339889,0.08295107,0.026339889,0.08295107,false,0.026339889,0.08295107,0.026339929236010917,0.08295112042982566,0.026339929236010917,0.08295112042982566
2024-10-10,000525.SZ,0.8541298999772026,0.013080001,0.047792673,0.013080001,0.047792673,false,0.013080001,0.047792673,0.0130801157087157,0.04779273047415411,0.0130801157087157,0.04779273047415411
2024-10-11,000525.SZ,0.8704416750347809,0.062258363,0.075663805,0.062258363,0.075663805,false,0.062258363,0.075663805,0.06225831399845316,0.07566383088424833,0.06225831399845316,0.07566383088424833
2024-10-14,000525.SZ,0.9114355535325006,0.038431644,,0.038431644,,false,0.038431644,0.3467908,0.03843167701863348,,0.03843167701863348,0.346790890269151
2024-10-15,000525.SZ,0.9191054479131798,0.018952012,,0.018952012,,false,0.018952012,0.26303744,0.01895192063088258,,0.01895192063088258,0.2630373950648688
2024-10-16,000525.SZ,0.9212517294519342,0.042773247,,0.042773247,,false,0.042773247,0.20978034,0.04277323799795729,,0.04277323799795729,0.20978038815117483
2024-10-17,000525.SZ,0.9122342230936028,0.033271313,,0.033271313,,false,0.033271313,0.12240851,0.03327126008690273,,0.03327126008690273,0.12240844196151457
2024-10-18,000525.SZ,0.8895927386011427,0.0044897795,,0.0044897795,,false,0.0044897795,0.047202945,0.004489746390001104,,0.004489746390001104,0.04720300934352628
2024-10-21,000525.SZ,0.9029243858305386,0.036261678,,0.036261678,,false,0.036261678,0.026915789,0.03626168224299087,,0.03626168224299087,0.02691588785046717
2024-10-22,000525.SZ,0.9485357085126217,0.0054923296,,0.0054923296,,false,0.0054923296,-0.016976655,0.005492447884159146,,0.005492447884159146,-0.01697665709649232
2024-10-23,000525.SZ,0.9282791992825682,0.020080805,,0.020080805,,false,0.020080805,-0.07934368,0.020080813028039657,,0.020080813028039657,-0.07934370025713244
2024-10-24,000525.SZ,1.0453946516328785,0.0009610653,,0.0009610653,,false,0.0009610653,-0.085906625,0.0009611918779286466,,0.0009611918779286466,-0.08590652408987154
2024-10-25,000525.SZ,1.1856618254250075,-0.014375508,,-0.014375508,,false,-0.014375508,-0.080937564,-0.014375453007972716,,-0.014375453007972716,-0.08093742449867103
2024-10-28,000525.SZ,1.2032080670019323,-0.02777785,,-0.02777785,,false,-0.02777785,-0.090428114,-0.027777777777778012,,-0.027777777777778012,-0.09042809042809052
2024-10-29,000525.SZ,1.141365615754714,0.04804468,,0.04804468,,false,0.04804468,-0.07337052,0.04804469273743028,,0.04804469273743028,-0.07337057728119178
2024-10-30,000525.SZ,1.1303170535011635,-0.008042216,,-0.008042216,,false,-0.008042216,-0.13611805,-0.008042251830512548,,-0.008042251830512548,-0.1361181130716601
2024-10-31,000525.SZ,1.186455772700033,0.0,,0.0,,false,0.0,-0.09746724,0.0,,0.0,-0.09746729084143568
2024-11-01,000525.SZ,1.276451418885419,0.02279687,,0.02279687,,false,0.02279687,-0.11386198,0.022796911386199215,,0.022796911386199215,-0.11386199289128573
2024-11-04,000525.SZ,1.0966349558292545,,,,,false,0.28732228,-0.08781695,,,0.287322201607916,-0.08781694495980208
2024-11-05,000525.SZ,0.9861322161311482,,,,,false,0.17626166,-0.10672814,,,0.17626154939587768,-0.10672826344468145
2024-11-06,000525.SZ,0.6156694782726028,,,,,false,0.14653921,-0.08337355,,,0.14653920619554683,-0.08337366892545983
2024-11-07,000525.SZ,0.7506559856983928,,,,,false,0.08522391,-0.08546388,,,0.08522386268155069,-0.0854639299003721
2024-11-08,000525.SZ,0.7129523749976865,,,,,false,0.03415227,-0.08436179,,,0.03415218693828659,-0.08436189334931088
2024-11-11,000525.SZ,0.7294441233409275,,,,,true,,,,,,
2024-11-12,000525.SZ,0.727917886704118,,,,,true,,,,,,
2024-11-13,000525.SZ,0.7338535453802714,,,,,true,,,,,,
2024-11-14,000525.SZ,0.8364587369482601,,,,,true,,,,,,
2024-11-15,000525.SZ,0.871529081731174,,,,,true,,,,,,
2024-11-18,000525.SZ,0.9743397812727013,,,,,true,,,,,,
2024-11-19,000525.SZ,0.9964229118505528,,,,,true,,,,,,
2024-11-20,000525.SZ,1.046008865854488,,,,,true,,,,,,
2024-11-21,000525.SZ,1.0792701916206364,,,,,true,,,,,,
2024-11-22,000525.SZ,1.1560131314522972,,,,,true,,,,,,
2024-11-25,000525.SZ,1.14991588158919,,,,,true,,,,,,
2024-11-26,000525.SZ,1.2304707581397238,,,,,true,,,,,,
2024-11-27,000525.SZ,1.3772291319903505,,,,,true,,,,,,
