date,code,signal,forward_return_5d,forward_return_20d,fwd5_32,fwd20_32,missing,fwd5_32_tr,fwd20_32_tr,fwd5_64,fwd20_64,fwd5_64_t64,fwd20_64_t64
2024-10-14,000525.SZ,0.9114355535325006,0.038431644,,0.038431644,,false,0.038431644,0.3467908,0.03843167701863348,,0.03843167701863348,0.346790890269151
2024-10-15,000525.SZ,0.9191054479131798,0.018952012,,0.018952012,,false,0.018952012,0.26303744,0.01895192063088258,,0.01895192063088258,0.2630373950648688
2024-10-16,000525.SZ,0.9212517294519342,0.042773247,,0.042773247,,false,0.042773247,0.20978034,0.04277323799795729,,0.04277323799795729,0.20978038815117483
2024-10-17,000525.SZ,0.9122342230936028,0.033271313,,0.033271313,,false,0.033271313,0.12240851,0.03327126008690273,,0.03327126008690273,0.12240844196151457
2024-10-18,000525.SZ,0.8895927386011427,0.0044897795,,0.0044897795,,false,0.0044897795,0.047202945,0.004489746390001104,,0.004489746390001104,0.04720300934352628
2024-10-21,000525.SZ,0.9029243858305386,0.036261678,,0.036261678,,false,0.036261678,0.026915789,0.03626168224299087,,0.03626168224299087,0.02691588785046717
2024-10-22,000525.SZ,0.9485357085126217,0.0054923296,,0.0054923296,,false,0.0054923296,-0.016976655,0.005492447884159146,,0.005492447884159146,-0.01697665709649232
2024-10-23,000525.SZ,0.9282791992825682,0.020080805,,0.020080805,,false,0.020080805,-0.07934368,0.020080813028039657,,0.020080813028039657,-0.07934370025713244
2024-10-24,000525.SZ,1.0453946516328785,0.0009610653,,0.0009610653,,false,0.0009610653,-0.085906625,0.0009611918779286466,,0.0009611918779286466,-0.08590652408987154
2024-10-25,000525.SZ,1.1856618254250075,-0.014375508,,-0.014375508,,false,-0.014375508,-0.080937564,-0.014375453007972716,,-0.014375453007972716,-0.08093742449867103
2024-10-28,000525.SZ,1.2032080670019323,-0.02777785,,-0.02777785,,false,-0.02777785,-0.090428114,-0.027777777777778012,,-0.027777777777778012,-0.09042809042809052
2024-10-29,000525.SZ,1.141365615754714,0.04804468,,0.04804468,,false,0.04804468,-0.07337052,0.04804469273743028,,0.04804469273743028,-0.07337057728119178
2024-10-30,000525.SZ,1.1303170535011635,-0.008042216,,-0.008042216,,false,-0.008042216,-0.13611805,-0.008042251830512548,,-0.008042251830512548,-0.1361181130716601
2024-10-31,000525.SZ,1.186455772700033,0.0,,0.0,,false,0.0,-0.09746724,0.0,,0.0,-0.09746729084143568
2024-11-01,000525.SZ,1.276451418885419,0.02279687,,0.02279687,,false,0.02279687,-0.11386198,0.022796911386199215,,0.022796911386199215,-0.11386199289128573
2024-11-04,000525.SZ,1.0966349558292545,,,,,false,0.28732228,-0.08781695,,,0.287322201607916,-0.08781694495980208
2024-11-05,000525.SZ,0.9861322161311482,,,,,false,0.17626166,-0.10672814,,,0.17626154939587768,-0.10672826344468145
2024-11-06,000525.SZ,0.6156694782726028,,,,,false,0.14653921,-0.08337355,,,0.14653920619554683,-0.08337366892545983
2024-11-07,000525.SZ,0.7506559856983928,,,,,false,0.08522391,-0.08546388,,,0.08522386268155069,-0.0854639299003721
2024-11-08,000525.SZ,0.7129523749976865,,,,,false,0.03415227,-0.08436179,,,0.03415218693828659,-0.08436189334931088
2024-12-13,000525.SZ,-1.9687154573399732,-0.17083013,-0.26585317,-0.17083013,-0.26585317,false,-0.20820528,-0.25624526,-0.17083013066871644,-0.26585318985395856,-0.20820522674865494,-0.2562451960030746
2024-12-16,000525.SZ,-2.177834851016706,-0.17009062,-0.22044313,-0.17009062,-0.22044313,false,-0.20694858,-0.23383689,-0.17009063444108763,-0.2204431017119839,-0.20694864048338368,-0.23383685800604226
