spec	n_weeks	ic.mean(before)	ic.mean(after)	|delta mean|	ic.t_stat(before)	ic.t_stat(after)	|delta t|	ic.ir(before)	ic.ir(after)	|delta ir|
reversal_20d	178	-0.0414988679293545	-0.0414988679293545	0.000e+00	-3.4310520769863486	-3.4310520769863486	0.000e+00	-0.2571682258296336	-0.2571682258296336	0.000e+00
momentum_20d	178	-0.0414988679293545	-0.0414988679293545	0.000e+00	-3.4310520769863486	-3.4310520769863486	0.000e+00	-0.2571682258296336	-0.2571682258296336	0.000e+00
vol_run_energy_symrun	142	-0.025586657865997547	-0.025586657865997547	0.000e+00	-6.885716292772831	-6.885716292772831	0.000e+00	-0.5778364751414747	-0.5778364751414747	0.000e+00
low_vol_20d	178	0.07007485259689888	0.07007485259689888	0.000e+00	4.095688789051659	4.095688789051659	0.000e+00	0.30698485356593047	0.30698485356593047	0.000e+00
turnover_accel	178	-0.0367343842352204	-0.0367343842352204	0.000e+00	-5.29544915208491	-5.29544915208491	0.000e+00	-0.3969106946953905	-0.3969106946953905	0.000e+00
reversal_20d_wcorr	178	-0.06746037692967563	-0.06746037692967563	0.000e+00	-7.297879342063747	-7.297879342063747	0.000e+00	-0.5469991829345046	-0.5469991829345046	0.000e+00
