时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000120,0,622987,0,B,118200,500
93000120,0,623304,0,S,123100,600
93000120,0,623741,0,B,122500,200
93000130,0,624860,0,B,120000,1000
93000130,0,625669,0,B,120300,1000
93000130,0,626073,0,S,127900,3000
93000130,0,626108,0,S,122400,300
93000130,0,626340,0,B,122000,300
93000130,0,626950,0,S,122500,800
93000130,0,627362,0,S,134000,6300
93000130,0,629193,0,S,130500,500
93000130,0,630003,0,S,130000,1000
93000130,0,630097,0,B,118000,5000
93000130,0,630375,0,B,120400,2000
93000130,0,630520,0,S,125500,4000
93000140,0,630933,0,S,122400,3200
93000140,0,631015,0,B,116600,1300
93000140,0,631234,0,S,122600,15000
93000140,0,631252,0,B,122000,1000
93000140,0,631275,0,S,122700,13000
93000140,0,631408,0,B,123200,3000
93000140,0,632456,0,B,120300,2500
93000140,0,632623,0,B,122000,100
93000140,0,632680,0,B,115100,3800
93000140,0,633612,0,B,119000,2000
93000140,0,634473,0,B,119600,2300
93000140,0,634607,0,S,132000,1100
93000140,0,634610,0,B,122500,2000
93000140,0,635773,0,S,126400,6900
93000150,0,639069,0,S,124000,1500
93000150,0,639550,0,B,120900,1000
93000150,0,640125,0,B,120100,300
93000150,0,640738,0,B,122000,700
93000150,0,640778,0,B,121600,1700
93000160,0,641217,0,B,121000,10000
93000160,0,641464,0,S,128900,1000
93000160,0,642101,0,B,120300,3500
93000160,0,642302,0,B,120100,300
93000160,0,642899,0,B,120000,1000
93000160,0,642921,0,B,121000,500
93000160,0,642954,0,S,123800,500
93000160,0,643078,0,S,122000,500
93000160,0,643628,0,S,122000,2700
93000170,0,645017,0,B,121100,1000
93000170,0,645067,0,B,120100,2000
93000170,0,645227,0,B,120000,700
93000170,0,645284,0,B,122900,1700
93000170,0,645865,0,B,120700,200
93000170,0,646057,0,S,122900,100
93000170,0,646324,0,B,122000,2700
93000170,0,646575,0,S,123000,500
93000170,0,646760,0,B,122200,900
93000170,0,646989,0,S,123500,4300
93000170,0,647727,0,S,124000,4300
93000170,0,647753,0,S,129600,2800
93000180,0,649386,0,B,122100,6000
93000180,0,649435,0,B,122600,100
93000180,0,649438,0,B,120000,1000
93000180,0,649595,0,S,124000,1000
93000180,0,649599,0,B,120200,2000
93000180,0,649642,0,B,120500,1800
93000180,0,649711,0,S,124000,500
93000180,0,649869,0,S,122000,1500
93000180,0,650769,0,S,124000,5000
93000180,0,651368,0,S,123500,1000
93000180,0,652098,0,B,120000,1500
